1	1		10
1	2	7	 
1	3		10
1	4		10
1	5	6	 
1	6	5	 
1	7		10
1	8	8	 
1	9		10
2	1	6	 
2	2		10
2	3		10
2	4		10
2	5	3	 
2	6		10
2	7	4	 
2	8		10
2	9		10
3	1		10
3	2	2	 
3	3		10
3	4		10
3	5	4	 
3	6		10
3	7	7	 
3	8		10
3	9		10
4	1	8	 
4	2	6	 
4	3		10
4	4		10
4	5		10
4	6	2	 
4	7	5	 
4	8	7	 
4	9		10
5	1		10
5	2		10
5	3	7	 
5	4	4	 
5	5		10
5	6	6	 
5	7	1	 
5	8		10
5	9		10
6	1		10
6	2	5	 
6	3	2	 
6	4	3	 
6	5		10
6	6		10
6	7		10
6	8	6	 
6	9	4	 
7	1		10
7	2		10
7	3	8	 
7	4		10
7	5	2	 
7	6		10
7	7		10
7	8	3	 
7	9		10
8	1		10
8	2		10
8	3	5	 
8	4		10
8	5	8	 
8	6		10
8	7		10
8	8		10
8	9	1	 
9	1		10
9	2	4	 
9	3		10
9	4	7	 
9	5	1	 
9	6		10
9	7		10
9	8	5	 
9	9		10
