1	1		10
1	2		10
1	3	6	 
1	4		10
1	5	9	 
1	6	1	 
1	7	5	 
1	8	7	 
1	9	2	 
2	1		10
2	2	7	 
2	3		10
2	4		10
2	5	4	 
2	6		10
2	7		10
2	8		10
2	9		10
3	1		10
3	2	2	 
3	3	1	 
3	4	3	 
3	5		10
3	6		10
3	7		10
3	8		10
3	9		10
4	1		10
4	2		10
4	3		10
4	4		10
4	5		10
4	6		10
4	7	1	 
4	8		10
4	9		10
5	1		10
5	2	1	 
5	3		10
5	4	5	 
5	5		10
5	6	4	 
5	7		10
5	8	3	 
5	9		10
6	1		10
6	2		10
6	3	4	 
6	4		10
6	5		10
6	6		10
6	7		10
6	8		10
6	9		10
7	1		10
7	2		10
7	3		10
7	4		10
7	5		10
7	6	7	 
7	7	8	 
7	8	2	 
7	9		10
8	1		10
8	2		10
8	3		10
8	4		10
8	5	1	 
8	6		10
8	7		10
8	8	6	 
8	9		10
9	1	7	 
9	2	3	 
9	3	5	 
9	4	2	 
9	5	6	 
9	6		10
9	7	9	 
9	8		10
9	9		10
